oem,model,battery_charging,platform_cpu,platform_gpu,body_sim,network_technology,display_type,main_camera_video,selfie_camera_video,body_weight,display_resolution,display_size,sound_3.5mm_jack,platform_os,platform_chipset,memory,ram,removability,battery_capacity,misc_price
Huawei,Mate 20 X (5G),40,8,Mali-G76,"Dual SIM (Nano-SIM, dual stand-by)",5G,OLED,4K,1080p,233,1080 x 2244 ,7.2,No,Android,Kirin 980,256,8,Non-removable,4200,575
Huawei,Y5 (2019),21.82167235,4,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,,146,720 x 1520 ,5.71,Yes,Android,Mediatek MT6761 Helio A22,16,2,Non-removable,3020,86.16
Lenovo,K10 Plus,10,8,Adreno 506,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,172,720 x 1520 ,6.22,Yes,Android,Qualcomm SDM632 Snapdragon 632,64,4,Non-removable,4050,135
Lenovo,K10 Note,18,8,Adreno 616,No,LTE,IPS LCD,1080p,1080p,164,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM710 Snapdragon 710,64,4,Non-removable,4050,224
Lenovo,A6 Note,10,8,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,,172,720 x 1560 ,6.09,Yes,Android,Mediatek MT6762 Helio P22,16,2,Non-removable,4000,100
Lenovo,Tab M7,21.82167235,4,Mali-400,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,720p,720p,236,600 x 1024 ,7,Yes,Android,Mediatek MT8321,8,1,Non-removable,3590,100
Lenovo,Z6,15,8,Adreno 618,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,Super AMOLED,4K,1080p,159,1080 x 2340 ,6.39,Yes,Android,Qualcomm SDM730 Snapdragon 730,64,6,Non-removable,4000,250
Lenovo,Z6 Pro 5G,18,8,Adreno 640,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",5G,Super AMOLED,4K,1080p,185,1080 x 2340 ,6.39,Yes,Android,Qualcomm SM8150 Snapdragon 855,128,6,Non-removable,4000,400
Lenovo,Z6 Youth,15,8,Adreno 616,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,164,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM710 Snapdragon 710,64,4,Non-removable,4050,160
Lenovo,Z6 Pro,18,8,Adreno 640,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,Super AMOLED,4K,1080p,185,1080 x 2340 ,6.39,Yes,Android,Qualcomm SM8150 Snapdragon 855,128,6,Non-removable,4000,330.99
LG,Q61,21.82167235,8,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,191,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6765 Helio P35,64,4,Non-removable,4000,270
LG,Stylo 6,21.82167235,8,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,219,1080 x 2460 ,6.8,Yes,Android,Mediatek MT6765 Helio P35,64,3,Non-removable,4000,200
LG,Velvet,25,8,Adreno 620,Mini-SIM,5G,P-OLED,4K,1080p,180,1080 x 2460 ,6.8,Yes,Android,Qualcomm SDM765 Snapdragon 765G,128,6,Non-removable,4300,769.98
LG,Q51,21.82167235,8,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,204,720 x 1520 ,6.5,Yes,Android,Mediatek MT6762 Helio P22,32,3,Non-removable,4000,240
LG,W10 Alpha,21.82167235,8,IMG8322,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,720p,170,720 x 1512 ,5.71,Yes,Android,Unisoc SC9863A,32,3,Non-removable,3450,130
LG,K61,21.82167235,8,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,191,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6765 Helio P35,64,4,Non-removable,4000,239.59
